基金代码,基金全称,基金简称,基金类型,发行日期,成立日期/规模,资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,最高申购费率,最高赎回费率,业绩比较基准,跟踪标的
008212,华夏新机遇灵活配置混合型证券投资基金,华夏新机遇混合C,混合型-灵活,2016年03月25日,2019年11月15日 / --,0.15亿元,0.0942亿份,华夏基金,中信银行,孙然晔,每份累计0.19元,0.60%（每年）,0.15%（每年）,0.40%（每年）,---,0.00%,1.50%,沪深300指数收益率×50%+上证国债指数收益率×50%,该基金无跟踪标的
008254,华宝致远混合型证券投资基金(QDII),华宝致远混合(QDII)C,QDII-混合偏股,2019年11月22日,2019年11月27日 / 2.089亿份,1.80亿元,1.4232亿份,华宝基金,交通银行,周晶、杨洋,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,经人民币汇率调整的恒生指数收益率×65%+经人民币汇率调整的标普500指数收益率×15%+境内银行活期存款利率(税后)×20%,该基金无跟踪标的
008262,招商研究优选股票型证券投资基金,招商研究优选股票C,股票型,2020年04月01日,2020年04月21日 / 12.294亿份,2.51亿元,1.3651亿份,招商基金,工商银行,梁辰,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×75%+恒生指数收益率×10%+中债综合指数收益率×15%,该基金无跟踪标的
008265,南方ESG主题股票型证券投资基金,南方ESG股票C,股票型,2019年12月02日,2019年12月19日 / 27.882亿份,1.17亿元,0.7642亿份,南方基金,工商银行,章晖,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,中证800ESG基准指数收益率*75%+中证港股通综合指数(人民币)收益率*10%+上证国债指数收益率*15%,该基金无跟踪标的
008282,国泰CES半导体芯片行业交易型开放式指数证券投资基金发起式联接基金,国泰CES半导体芯片行业ETF联接C,指数型-股票,2019年11月19日,2019年11月22日 / 0.225亿份,24.49亿元,12.2742亿份,国泰基金,中国银行,梁杏、朱碧莹,每份累计0.16元,0.50%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中华交易服务半导体芯片行业指数收益率×95%+银行活期存款利率(税后)×5%,中华交易服务半导体芯片行业人民币指数
008315,摩根慧选成长股票型证券投资基金,摩根慧选成长股票C,股票型,2019年12月25日,2020年01月22日 / 37.271亿份,2.94亿元,1.6856亿份,摩根基金(中国),中国银行,李德辉,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*75%+中证港股通指数收益率*10%+上证国债指数收益率*15%,该基金无跟踪标的
008319,博道久航混合型证券投资基金,博道久航混合C,混合型-偏股,2019年12月09日,2019年12月24日 / 19.290亿份,20.63亿元,11.6188亿份,博道基金,兴业证券,刘玮明,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证800指数收益率×80%+上证国债指数收益率×20%,该基金无跟踪标的
008327,西藏东财中证通信技术主题指数型发起式证券投资基金,东财通信C,指数型-股票,2020年01月02日,2020年01月20日 / 10.203亿份,6.46亿元,2.6907亿份,东财基金,浦发银行,姚楠燕,每份累计0.00元,0.50%（每年）,0.05%（每年）,0.25%（每年）,0.00%,0.00%,1.50%,中证通信技术主题指数收益率×95%+银行活期存款利率(税后)×5%,中证通信技术主题指数
008348,中信建投价值甄选混合型证券投资基金,中信建投甄选混合C,混合型-偏股,2019年12月16日,2019年12月23日 / 7.619亿份,3.19亿元,1.203亿份,中信建投基金,国金证券,栾江伟,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*70%+中证综合债指数收益率*30%,该基金无跟踪标的
008397,博时中证500交易型开放式指数证券投资基金发起式联接基金,博时中证500ETF联接C,指数型-股票,2019年12月12日,2019年12月30日 / 0.379亿份,1.62亿元,0.9719亿份,博时基金,招商银行,万琼,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证500指数收益率×95%+银行活期存款税后利率×5%,中证500指数
008400,华泰柏瑞中证科技100交易型开放式指数证券投资基金联接基金,华泰柏瑞中证科技ETF联接C,指数型-股票,2020年02月17日,2020年02月26日 / 12.867亿份,0.69亿元,0.3501亿份,华泰柏瑞基金,中信证券,胡亦清,每份累计0.07元,0.50%（每年）,0.10%（每年）,0.25%（每年）,0.00%,0.00%,1.50%,中证科技100指数收益率×95%+银行活期存款利率(税后)×5%,中证科技100指数
008419,惠升惠泽灵活配置混合型发起式证券投资基金,惠升惠泽混合C,混合型-灵活,2019年12月06日,2019年12月17日 / 10.012亿份,9.73亿元,7.5722亿份,惠升基金,招商银行,孙庆、钱睿南、徐玉良,每份累计0.18元,1.20%（每年）,0.10%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,中证500指数收益率×70%+中证港股通综合指数收益率×10%+中债综合全价指数收益率×20%,该基金无跟踪标的
008423,国联研发创新混合型证券投资基金,国联研发创新混合C,混合型-偏股,2021年12月06日,2021年12月28日 / 2.588亿份,0.11亿元,0.0741亿份,国联基金,民生银行,甘传琦,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证研发创新100指数收益率*65%+恒生指数收益率*10%+中债综合指数收益率*25%,该基金无跟踪标的
008532,惠升惠民混合型证券投资基金,惠升惠民混合C,混合型-偏股,2020年02月03日,2020年03月05日 / 8.634亿份,6.62亿元,5.3909亿份,惠升基金,兴业银行,彭柏文,每份累计0.17元,1.20%（每年）,0.15%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证800指数收益率×70%+中证港股通综合指数收益率×15%+中债综合全价指数收益率×15%,该基金无跟踪标的
008586,华夏中证人工智能主题交易型开放式指数证券投资基金发起式联接基金,华夏人工智能ETF联接C,指数型-股票,2020年05月15日,2020年06月16日 / 8.640亿份,25.60亿元,18.2995亿份,华夏基金,中国银行,李俊,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证人工智能主题指数收益率*95%+人民币活期存款税后利率*5%,中证人工智能主题指数
008656,招商科技创新混合型证券投资基金,招商科技创新混合C,混合型-偏股,2020年02月10日,2020年02月12日 / 9.897亿份,3.29亿元,1.8105亿份,招商基金,工商银行,张林,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证中国战略新兴产业成份指数收益率*70%+中证全债指数收益率*20%+恒生综合指数收益率*10%,该基金无跟踪标的
008750,富国中证科技50策略交易型开放式指数证券投资基金联接基金,富国中证科技50策略ETF联接C,指数型-股票,2020年02月07日,2020年02月20日 / 11.875亿份,0.66亿元,0.4557亿份,富国基金,中信建投,王乐乐,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证科技50策略指数收益率*95%+银行活期存款利率(税后)*5%,中证科技50策略指数
008888,华夏国证半导体芯片交易型开放式指数证券投资基金发起式联接基金,华夏国证半导体芯片ETF联接C,指数型-股票,2020年05月08日,2020年06月02日 / 10.280亿份,105.93亿元,65.1632亿份,华夏基金,建设银行,赵宗庭,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,国证半导体芯片指数收益率*95%+人民币活期存款税后利率*5%,国证半导体芯片指数
008892,安信价值成长混合型证券投资基金,安信价值成长混合C,混合型-偏股,2020年02月21日,2020年03月18日 / 11.261亿份,4.83亿元,2.1739亿份,安信基金,农业银行,聂世林、陈振宇,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*70%+恒生指数收益率*5%+中债总指数(全价)收益率*25%,该基金无跟踪标的
008920,永赢科技驱动混合型证券投资基金,永赢科技驱动C,混合型-偏股,2020年02月12日,2020年02月18日 / 79.203亿份,7.04亿元,3.8134亿份,永赢基金,交通银行,李文宾,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,中国战略新兴产业成份指数收益率×70%+中债-综合指数(全价)收益率×30%,该基金无跟踪标的
008950,平安匠心优选混合型证券投资基金,平安匠心优选混合C,混合型-偏股,2020年02月03日,2020年02月21日 / 53.447亿份,2.71亿元,1.8014亿份,平安基金,中国银行,张淼,每份累计0.24元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×75%+中证全债指数收益率×25%,该基金无跟踪标的
008963,建信科技创新混合型证券投资基金,建信科技创新混合C,混合型-偏股,2020年02月13日,2020年02月17日 / 9.894亿份,0.59亿元,0.3444亿份,建信基金,交通银行,邵卓,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中国战略新兴产业成份指数收益率*50%+恒生指数收益率(使用估值汇率折算)*20%+中证综合债指数收益率*30%,该基金无跟踪标的
008981,中邮科技创新精选混合型证券投资基金,中邮科技创新精选混合C,混合型-偏股,2020年02月20日,2020年02月27日 / 9.940亿份,6.80亿元,3.2443亿份,中邮基金,兴业银行,王瑶,每份累计0.31元,1.00%（每年）,0.20%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中国战略新兴产业成份指数收益率×70%+上证国债指数收益率×30%,该基金无跟踪标的
008987,广发上海金交易型开放式证券投资基金联接基金,广发上海金ETF联接C,指数型-其他,2020年07月13日,2020年08月05日 / 2.741亿份,12.09亿元,6.5581亿份,广发基金,招商银行,姚曦,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.35%（每年）,0.00%,0.00%,1.50%,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+活期存款利率(税后)*5%,上海金
008989,大成科技创新混合型证券投资基金,大成科技创新混合C,混合型-偏股,2020年04月01日,2020年04月29日 / 6.470亿份,7.14亿元,2.5475亿份,大成基金,农业银行,郭玮羚,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中国战略新兴产业成份指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,该基金无跟踪标的
009009,平安科技创新混合型证券投资基金,平安科技创新混合C,混合型-偏股,2020年03月03日,2020年03月06日 / 9.907亿份,4.88亿元,2.1059亿份,平安基金,平安银行,翟森,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中国战略新兴产业成份指数收益率×65%+恒生指数收益率(经汇率估值调整)×15%+中债总指数收益率×20%,该基金无跟踪标的
009013,平安创业板交易型开放式指数证券投资基金联接基金,平安创业板ETF联接C,指数型-股票,2020年02月24日,2020年03月25日 / 2.578亿份,2.23亿元,1.2764亿份,平安基金,中国银行,李严,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,创业板指数收益率*95%+银行活期存款利率(税后)*5%,创业板指数(价格)
009030,工银瑞信高质量成长混合型证券投资基金,工银高质量成长混合C,混合型-偏股,2020年05月28日,2020年06月18日 / 119.886亿份,2.27亿元,1.8929亿份,工银瑞信基金,农业银行,李昱,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,65%×中证700指数收益率+5%×恒生指数收益率+30%×中债综合财富(总值)指数收益率,该基金无跟踪标的
009034,建信上海金交易型开放式证券投资基金联接基金,建信上海金ETF联接C,指数型-其他,2020年07月15日,2020年08月05日 / 2.756亿份,15.99亿元,7.9076亿份,建信基金,交通银行,朱金钰,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率*95%+银行活期存款税后收益率*5%,上海金
009047,西藏东财创业板交易型开放式指数证券投资基金发起式联接基金,东财创业板ETF发起式联接C,指数型-股票,2020年03月02日,2020年03月18日 / 2.532亿份,2.31亿元,1.2037亿份,东财基金,兴业银行,姚楠燕,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.25%（每年）,0.00%,0.00%,1.50%,创业板指数收益率*95%+银行活期存款利率(税后)*5%,创业板指数(价格)
009056,圆信永丰大湾区主题混合型证券投资基金,圆信永丰大湾区C,混合型-偏股,2020年04月15日,2020年05月14日 / 2.186亿份,0.19亿元,0.0812亿份,圆信永丰基金,建设银行,汪萍,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证粤港澳大湾区发展主题指数收益率×70%+上证国债指数收益率×30%,该基金无跟踪标的
009063,财通智慧成长混合型证券投资基金,财通智慧成长混合C,混合型-偏股,2020年03月18日,2020年04月03日 / 15.550亿份,2.12亿元,1.0258亿份,财通基金,工商银行,贾雅楠,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证500指数收益率*70%+中债综合全价指数收益率*25%+恒生指数收益率*5%,该基金无跟踪标的
009127,嘉实基础产业优选股票型证券投资基金,嘉实基础产业优选股票C,股票型,2020年03月25日,2020年04月15日 / 7.497亿份,0.43亿元,0.2751亿份,嘉实基金,建设银行,肖觅,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证全指资本品指数收益率*30%+中证全指运输指数收益率*30%+中证全指原材料指数收益率*20%+恒生指数收益率*5%+中债综合财富指数收益率*15%,该基金无跟踪标的
009170,湘财长兴灵活配置混合型证券投资基金,湘财长兴灵活配置混合C,混合型-灵活,2020年03月23日,2020年04月23日 / 7.909亿份,0.22亿元,0.2127亿份,湘财基金,浙商银行,车广路,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证800指数收益率×60%+上证国债指数收益率×40%,该基金无跟踪标的
009218,博时荣丰回报灵活配置混合型证券投资基金,博时荣丰回报灵活配置混合C,混合型-灵活,2020年04月20日,2020年05月07日 / 3.131亿份,0.09亿元,0.0673亿份,博时基金,建设银行,黄继晨,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*50%+恒生综合指数收益率*10%+中债综合财富(总值)指数收益率*40%,该基金无跟踪标的
009239,融通中证人工智能主题指数证券投资基金(LOF),融通人工智能指数(LOF)C,指数型-股票,2017年01月03日,2020年04月01日 / --,2.04亿元,0.8626亿份,融通基金,建设银行,何天翔、林丽娟,每份累计0.00元,0.80%（每年）,0.15%（每年）,0.40%（每年）,---,0.00%,1.50%,95%×中证人工智能主题指数收益率+5%×银行人民币活期存款利率(税后),中证人工智能主题指数
009243,中加核心智造混合型证券投资基金,中加核心智造混合C,混合型-偏股,2020年06月22日,2020年07月22日 / 2.866亿份,2.23亿元,1.1101亿份,中加基金,渤海银行,张一然,每份累计0.06元,1.20%（每年）,0.10%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证500指数收益率*70%+中证港股通综合指数(人民币)收益率*10%+1年期定期存款利率(税后)*20%,该基金无跟踪标的
009258,西部利得景瑞灵活配置混合型证券投资基金,西部利得景瑞灵活配置混合C,混合型-灵活,2016年08月22日,2020年04月07日 / --,2.76亿元,0.8047亿份,西部利得基金,民生银行,陈保国,每份累计0.00元,0.60%（每年）,0.15%（每年）,0.40%（每年）,---,0.00%,1.50%,沪深300指数收益率*50%+中证全债指数收益率*50%,该基金无跟踪标的
009328,东兴兴晟混合型证券投资基金,东兴兴晟混合C,混合型-偏股,2020年07月15日,2020年08月05日 / 3.850亿份,0.12亿元,0.0874亿份,东兴基金,浙商银行,李晨辉、李兵伟,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×60%+中债综合指数收益率×40%,该基金无跟踪标的
009478,中银上海金交易型开放式证券投资基金联接基金,中银上海金ETF联接C,指数型-其他,2020年07月17日,2020年09月29日 / 2.701亿份,16.67亿元,8.5441亿份,中银基金,招商银行,赵建忠,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.35%（每年）,0.00%,0.00%,1.50%,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率*95%+人民币活期存款利率(税后)*5%,上海金
009492,宝盈创新驱动股票型证券投资基金,宝盈创新驱动股票C,股票型,2020年08月03日,2020年08月10日 / 58.212亿份,2.36亿元,1.319亿份,宝盈基金,交通银行,容志能,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证新兴产业指数收益率×75%+中证港股通综合指数(人民币)收益率×10%+中证综合债券指数收益率×15%,该基金无跟踪标的
009505,富国上海金交易型开放式证券投资基金联接基金,富国上海金ETF联接C,指数型-其他,2020年07月09日,2020年07月24日 / 2.842亿份,13.75亿元,7.486亿份,富国基金,浦发银行,王乐乐,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.35%（每年）,0.00%,0.00%,1.50%,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率×95%+银行活期存款利率(税后)×5%,上海金
009538,太平行业优选股票型证券投资基金,太平行业优选股票C,股票型,2020年08月10日,2020年09月01日 / 2.449亿份,0.51亿元,0.4784亿份,太平基金,兴业银行,林开盛,每份累计0.05元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×80%+上证国债指数收益率×20%,该基金无跟踪标的
009597,泰康创新成长混合型证券投资基金,泰康创新成长混合C,混合型-偏股,2020年07月28日,2020年09月07日 / 26.865亿份,1.03亿元,0.8022亿份,泰康基金,招商银行,薛小波,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证500指数收益率*70%+恒生指数收益率*10%+中债新综合全价(总值)指数收益率*20%,该基金无跟踪标的
009609,广发中证500指数增强型证券投资基金,广发中证500指数增强C,指数型-股票,2020年07月29日,2020年10月15日 / 5.188亿份,0.41亿元,0.3169亿份,广发基金,中国银行,赵杰,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证500指数收益率×95%+银行活期存款利率(税后)×5%,中证500指数
009708,工银瑞信新兴制造混合型证券投资基金,工银新兴制造混合C,混合型-偏股,2020年07月31日,2020年08月20日 / 3.547亿份,22.95亿元,7.9094亿份,工银瑞信基金,交通银行,马丽娜,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,申银万国制造业指数收益率×65%+中证港股通综合指数收益率×5%+中债综合财富(总值)指数收益率×30%,该基金无跟踪标的
009727,招商中证500等权重指数增强型证券投资基金,招商中证500等权重指数增强C,指数型-股票,2020年12月01日,2020年12月23日 / 2.528亿份,5.28亿元,3.2553亿份,招商基金,中信证券,蔡振,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证500等权重指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,中证500等权重指数
009856,中加新兴成长混合型证券投资基金,中加新兴成长混合C,混合型-偏股,2020年08月31日,2020年09月17日 / 2.074亿份,0.58亿元,0.3223亿份,中加基金,浙商银行,张一然,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证500指数收益率*70%+中证港股通综合指数(人民币)收益率*10%+1年期定期存款利率(税后)*20%,该基金无跟踪标的
009870,嘉实产业先锋混合型证券投资基金,嘉实产业先锋混合C,混合型-偏股,2020年07月15日,2020年07月21日 / 84.653亿份,3.35亿元,2.9245亿份,嘉实基金,工商银行,姚志鹏、熊昱洲,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证800指数收益率×70%+恒生指数收益率×10%+中债综合财富指数收益率×20%,该基金无跟踪标的
009883,华润元大核心动力混合型证券投资基金,华润元大核心动力混合C,混合型-偏股,2020年08月17日,2020年08月24日 / 2.201亿份,0.06亿元,0.057亿份,华润元大基金,中泰证券,刘宏毅,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×70%+中债国债总全价指数收益率×25%+恒生指数收益率×5%,该基金无跟踪标的
009910,嘉实动力先锋混合型证券投资基金,嘉实动力先锋混合C,混合型-偏股,2020年11月18日,2020年11月23日 / 79.198亿份,2.82亿元,2.7068亿份,嘉实基金,民生银行,姚志鹏、邓云龙,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证800指数收益率×70%+恒生指数收益率×10%+中债综合财富指数收益率×20%,该基金无跟踪标的
009982,万家创业板指数增强型证券投资基金,万家创业板指数增强C,指数型-股票,2021年01月11日,2021年01月26日 / 3.702亿份,4.27亿元,3.4951亿份,万家基金,民生银行,乔亮、张永强,每份累计0.00元,1.20%（每年）,0.10%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,创业板指数收益率*95%+一年期人民币定期存款利率(税后)*5%,创业板指数(价格)
009995,嘉实创新先锋混合型证券投资基金,嘉实创新先锋混合C,混合型-偏股,2020年10月12日,2020年10月20日 / 39.101亿份,7.35亿元,4.5867亿份,嘉实基金,建设银行,王贵重、彭民,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证800指数收益率×65%+恒生指数收益率×15%+中债综合财富指数收益率×20%,该基金无跟踪标的
010004,景顺长城电子信息产业股票型证券投资基金,景顺长城电子信息产业股票C,股票型,2020年08月31日,2020年09月09日 / 49.610亿份,19.56亿元,11.5773亿份,景顺长城基金,浦发银行,杨锐文,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证TMT产业主题指数收益率×80%+中证港股通TMT主题投资指数收益率(人民币)×20%,该基金无跟踪标的
010024,广发沪港深新起点股票型证券投资基金,广发沪港深新起点股票C,股票型,2016年10月28日,2020年09月22日 / --,4.14亿元,1.9747亿份,广发基金,平安银行,李耀柱,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,45%×沪深300指数收益率+45%×人民币计价的恒生指数收益率+10%×中证全债指数收益率,该基金无跟踪标的
010026,广发聚瑞混合型证券投资基金,广发聚瑞混合C,混合型-偏股,2009年05月13日,2020年09月25日 / --,0.72亿元,0.1431亿份,广发基金,工商银行,费逸,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,80%*沪深300指数+20%*中证全债指数,该基金无跟踪标的
010034,安信成长精选混合型证券投资基金,安信成长精选混合C,混合型-偏股,2020年09月04日,2020年09月29日 / 13.937亿份,2.29亿元,1.4812亿份,安信基金,农业银行,陈鹏,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证800指数收益率×60%+恒生指数收益率(使用估值汇率折算)×10%+中债总指数(全价)收益率×30%,该基金无跟踪标的
010063,南方行业精选一年持有期混合型证券投资基金,南方行业精选一年混合C,混合型-偏股,2020年10月12日,2020年10月27日 / 50.791亿份,3.38亿元,3.8119亿份,南方基金,招商银行,骆帅,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,0.00%,中证800指数收益率×60%+中证港股通综合指数(人民币)收益率×10%+中债总指数收益率×30%,该基金无跟踪标的
010125,兴银景气优选混合型证券投资基金,兴银景气优选混合C,混合型-偏股,2020年11月02日,2020年11月24日 / 6.240亿份,0.27亿元,0.2992亿份,兴银基金管理,兴业银行,罗怡达,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×70%+中债综合指数收益率×30%,该基金无跟踪标的
010127,平安价值成长混合型证券投资基金,平安价值成长混合C,混合型-偏股,2020年08月31日,2020年09月24日 / 25.340亿份,1.01亿元,0.8801亿份,平安基金,中国银行,黄维,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×70%+中证全债指数收益率×25%+恒生指数收益率(经汇率调整)×5%,该基金无跟踪标的
010138,华泰柏瑞量化创享混合型证券投资基金,华泰柏瑞量化创享混合C,混合型-偏股,2020年12月14日,2020年12月30日 / 10.839亿份,0.58亿元,0.487亿份,华泰柏瑞基金,交通银行,凌若冰,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,创业板指数收益率*85%+上证科创板50成份指数收益率*10%+银行活期存款利率(税后)*5%,该基金无跟踪标的
010154,中加中证500指数增强型证券投资基金,中加中证500指数增强C,指数型-股票,2020年09月14日,2020年09月27日 / 2.050亿份,0.17亿元,0.1419亿份,中加基金,中信建投,钟伟,每份累计0.00元,0.80%（每年）,0.15%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证500指数收益率*95%+同期银行活期存款利率(税后)*5%,中证500指数
010158,汇安中证500指数增强型证券投资基金,汇安中证500增强C,指数型-股票,2020年10月28日,2020年11月16日 / 5.570亿份,0.32亿元,0.2803亿份,汇安基金,招商银行,柳预才,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证500指数收益率×95%+银行活期存款利率(税后)×5%,中证500指数
010162,广发瑞安精选股票型证券投资基金,广发瑞安精选股票C,股票型,2020年12月07日,2020年12月16日 / 28.928亿份,0.48亿元,0.3921亿份,广发基金,建设银行,费逸,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×65%+人民币计价的恒生指数收益率×15%+中证全债指数收益率×20%,该基金无跟踪标的
010203,天弘中证科技100指数增强型发起式证券投资基金,天弘中证科技100指数增强发起C,指数型-股票,2020年10月12日,2020年10月28日 / 3.672亿份,2.00亿元,1.2014亿份,天弘基金,国泰海通,刘笑明,每份累计0.00元,0.60%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证科技100指数收益率*95%+银行活期存款税后利率*5%,中证科技100指数
010214,中欧互联网先锋混合型证券投资基金,中欧互联网先锋混合C,混合型-偏股,2020年09月23日,2020年10月12日 / 99.110亿份,12.49亿元,10.9818亿份,中欧基金,招商银行,王颖,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证沪港深互联网指数收益率*85%+银行活期存款利率(税后)*15%,该基金无跟踪标的
010236,广发电子信息传媒产业精选股票型发起式证券投资基金,广发电子信息传媒股票C,股票型,2017年11月20日,2020年09月24日 / --,10.82亿元,3.4296亿份,广发基金,招商银行,冯骋,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,中证全指信息技术指数收益率*80%+中证全指电信业务指数收益率*10%+银行活期存款利率(税后)*10%,该基金无跟踪标的
010238,安信创新先锋混合型发起式证券投资基金,安信创新先锋混合发起C,混合型-偏股,2020年10月21日,2020年10月30日 / 3.273亿份,1.85亿元,1.7341亿份,安信基金,招商银行,张天麒,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证800指数收益率×60%+恒生指数收益率(使用估值汇率折算)×10%+中债总指数(全价)收益率×30%,该基金无跟踪标的
010246,华泰柏瑞量化先行混合型证券投资基金,华泰柏瑞量化先行混合C,混合型-偏股,2010年05月17日,2020年09月28日 / --,0.59亿元,0.2328亿份,华泰柏瑞基金,中国银行,盛豪,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,---,0.00%,1.50%,中证500指数收益率95%+银行活期存款利率5%,该基金无跟踪标的
